Species,Total_Isolates,Discordant_Count,Discordance_Rate_%
Citrobacter freundii,62,0,0.0
Enterobacter cloacae,196,0,0.0
Enterobacter hormaechi,140,0,0.0
Enterobacter spp,58,0,0.0
Escherichia coli,3662,482,13.162206444565811
Klebsiella aerogenes,42,6,14.285714285714286
Klebsiella oxytoca,18,0,0.0
Klebsiella pneumoniae,5988,312,5.210420841683367
Morganella morganii,20,8,40.0
Proteus mirabilis,340,74,21.764705882352942
Providencia rettgeri,36,0,0.0
Providencia spp,12,0,0.0
Providencia stuartii,62,0,0.0
Pseudomonas aeruginosa,476,106,22.26890756302521
