Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.18760650845493693
Klebsiella oxytoca,0.17139530685573226
Pseudomonas aeruginosa,0.1624102740192026
Proteus mirabilis,0.16105849574989806
Enterobacter spp,0.13746337093954308
Providencia stuartii,0.1368430782941002
Klebsiella pneumoniae,0.13600008291335158
Escherichia coli,0.1285265326721341
Enterobacter cloacae,0.10299430404682822
Enterobacter hormaechi,0.06175700573962888
Klebsiella aerogenes,0.04292085315023959
Providencia spp,0.042473210317398646
Citrobacter freundii,0.03804810517604139
Morganella morganii,0.004558358761507793
