Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.21125053895446183
Klebsiella pneumoniae,0.20566408777908682
Enterobacter cloacae,0.20450775869367038
Citrobacter freundii,0.20048840923466327
Escherichia coli,0.19300573487392514
Enterobacter spp,0.1857040865286071
Klebsiella oxytoca,0.18269430533117476
Proteus mirabilis,0.17405823313650742
Providencia stuartii,0.17150847671098135
Pseudomonas aeruginosa,0.17010427073148382
Enterobacter hormaechi,0.16460904943240434
Providencia spp,0.16183600358557387
Klebsiella aerogenes,0.15684657056801987
Morganella morganii,0.006285745365655296
