Species,Median_Probability_Gene_Presence
Morganella morganii,0.3538204992234154
Enterobacter cloacae,0.2228780893150591
Klebsiella oxytoca,0.21653874475564588
Providencia rettgeri,0.2134389105567357
Klebsiella pneumoniae,0.2130583506480702
Enterobacter spp,0.20595556294845252
Enterobacter hormaechi,0.20365382375114233
Citrobacter freundii,0.20350405346335543
Escherichia coli,0.20039408813400372
Klebsiella aerogenes,0.19817363205112926
Proteus mirabilis,0.19079231690111345
Providencia stuartii,0.1902198334295298
Providencia spp,0.18530261438422807
Pseudomonas aeruginosa,0.17148860754738313
