Species,Median_Probability_Gene_Presence
Morganella morganii,0.35966191616781457
Enterobacter cloacae,0.21994977956300293
Providencia rettgeri,0.2140975100843785
Klebsiella pneumoniae,0.21198761933908067
Klebsiella oxytoca,0.21137724834490412
Klebsiella aerogenes,0.20686700440542632
Enterobacter spp,0.2068147208964916
Escherichia coli,0.2059021095504695
Citrobacter freundii,0.20544137697662848
Enterobacter hormaechi,0.19842248443050067
Providencia stuartii,0.19754877367947749
Providencia spp,0.19159911251177447
Proteus mirabilis,0.1893791594768968
Pseudomonas aeruginosa,0.1723843200787523
