Species,Median_Probability_Gene_Presence
Proteus mirabilis,0.15278990599744402
Pseudomonas aeruginosa,0.13146037373410407
Enterobacter spp,0.13079151050971527
Klebsiella pneumoniae,0.12231820813663645
Klebsiella aerogenes,0.12037929089693482
Escherichia coli,0.11921039044054701
Providencia rettgeri,0.11755344945816451
Citrobacter freundii,0.11713379637413612
Enterobacter hormaechi,0.10941644964537833
Enterobacter cloacae,0.10674656565464313
Providencia stuartii,0.10389144643475423
Providencia spp,0.07868472842266121
Klebsiella oxytoca,0.06223212400215619
Morganella morganii,0.0213418747751465
