,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,3.272,1.176,1.066,5.477,0.039,0.019,903.0,1519.0,1.0
beta_year,-0.063,0.012,-0.087,-0.041,0.0,0.0,5762.0,2945.0,1.0
beta_gene_count,0.828,0.923,-0.848,2.597,0.016,0.013,3131.0,2825.0,1.0
beta_key_genes[0],-0.328,0.109,-0.529,-0.126,0.002,0.001,2328.0,3138.0,1.0
beta_key_genes[1],-0.327,0.109,-0.526,-0.114,0.002,0.001,2205.0,3084.0,1.0
beta_key_genes[2],-0.275,0.116,-0.494,-0.06,0.002,0.002,2249.0,2774.0,1.0
beta_key_genes[3],0.294,0.133,0.032,0.534,0.003,0.002,2714.0,2814.0,1.0
beta_key_genes[4],0.187,0.138,-0.075,0.439,0.003,0.002,2942.0,2645.0,1.0
sigma_species,2.235,0.454,1.381,3.043,0.01,0.007,2029.0,2569.0,1.0
sigma_gender,0.403,0.463,0.004,1.31,0.027,0.033,486.0,451.0,1.0
sigma_age,0.316,0.178,0.016,0.633,0.006,0.005,736.0,635.0,1.0
sigma_source,1.486,0.293,0.941,2.031,0.009,0.007,1213.0,1442.0,1.0
sigma_specialty,0.516,0.165,0.257,0.832,0.004,0.004,1795.0,2196.0,1.0
