Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9997686353239397,0.87501289642139,0.9999998354329837
2014,0.9995173657149589,0.8578736628191836,0.9999993247254884
2015,0.9989721334165793,0.833442198862066,0.9999972769673997
2016,0.9979211504104043,0.8091704080512299,0.9999886352038672
2017,0.9957949037909595,0.7709063919043591,0.9999531964305997
2018,0.9914576601965779,0.7010023766100013,0.9998401215738281
2019,0.9829140027227878,0.5998838146082279,0.9995002994574713
2020,0.9657209069557162,0.47555976802493827,0.9987405392528595
2021,0.9299276568922719,0.2956146159999678,0.9971094384499091
2022,0.8639205704293613,0.14310840161333171,0.9949165318924941
2023,0.754399506777746,0.05196669679163807,0.9924502510528732
