Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.0015688507415372996,2.5892359367501854e-05,0.07964104460058383
2014,0.005590868001613035,0.00010664164817358201,0.2026607850289419
2015,0.019554376755761854,0.00043688168622190587,0.42344305463566
2016,0.06486290427436792,0.0017802746990472143,0.6852801605181829
2017,0.19674145662392467,0.006978045170336895,0.8749076123575534
2018,0.465835335078853,0.025529943925565263,0.9565797102093353
2019,0.7556658399258753,0.09194365847041858,0.9868487935602623
2020,0.9176543768287333,0.26390203202321805,0.9964433940189631
2021,0.9748331735710207,0.5492573367258895,0.9990727257381495
2022,0.9926249064893573,0.7946734264679669,0.999752277680736
2023,0.9978933357131028,0.925113151107688,0.9999396697177279
