Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.0015373803304076109,2.7172639058092074e-11,0.9884013317944459
2014,0.007518840468707176,1.6562407595499212e-09,0.9917247407950407
2015,0.03418357052999527,1.131177217225005e-07,0.9943045028132144
2016,0.1501479956735205,5.357191402057258e-06,0.996300288121175
2017,0.47461044187088564,0.0003181452955472965,0.9976803892378713
2018,0.8196085920236444,0.014526801861330754,0.998733463289636
2019,0.9630200444579351,0.2406517425731647,0.9994870742301244
2020,0.9936130849474345,0.7245720812641855,0.9998778874666971
2021,0.9987336501459059,0.9242759412855324,0.9999929999630732
2022,0.9997476597599747,0.9688860180100929,0.999999826490759
2023,0.999947482426975,0.9861074209323254,0.9999999970236129
