Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.004363221757576236,8.784225280247633e-11,0.9992801035433411
2014,0.01876693895742276,4.264563489043107e-09,0.9993007107372335
2015,0.07702111690980795,2.167585187076569e-07,0.9992365532918969
2016,0.2670180907193307,1.2186757533489428e-05,0.9992004752156867
2017,0.6307022327212906,0.0005200393130945965,0.9992518790332505
2018,0.8855391050359278,0.022786650066042764,0.9992832812502849
2019,0.9725440905665572,0.32132466130459525,0.9995472097936045
2020,0.9940963539785326,0.7811835880453282,0.9998886810833169
2021,0.9987182122256635,0.9278357907124153,0.9999931661007226
2022,0.9997027184527953,0.9590890944074058,0.9999998105174748
2023,0.9999308707073495,0.9687866293741292,0.9999999959511774
