Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9912050199658625,0.774486509495948,0.9996569736469666
2014,0.9896113162331162,0.7447488177535363,0.9995882669592823
2015,0.9877425539902978,0.7143513252872713,0.9995207330095144
2016,0.9855209229963211,0.6807919187090725,0.999422677719741
2017,0.9828624318802268,0.6473464088627432,0.9993074783716419
2018,0.9799699151449153,0.6112890166078049,0.9991650713318437
2019,0.9765006626087829,0.5590235256617128,0.999007247671251
2020,0.9722627488715743,0.5167264336869306,0.9988304360616344
2021,0.9673329617417595,0.47569569822425756,0.9986396609756634
2022,0.9617028409523534,0.4347218804572805,0.9983675374263873
2023,0.9552462630486971,0.39564946153947883,0.9981304623673146
