Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.05650348379933479,1.1367244264825007e-05,0.9997340190870853
2014,0.1522603736610042,0.00010293327372925267,0.9996820616421269
2015,0.3559527702059444,0.0007785560940317942,0.9996084452841058
2016,0.6298686240523328,0.005861316798355901,0.9995610572190033
2017,0.836122691936612,0.03526108811455919,0.9995377196520446
2018,0.9389877298317852,0.18393318012764653,0.9995856591658308
2019,0.9787585568205819,0.48842202273882435,0.9996783631645064
2020,0.9928257400573994,0.7461745956354026,0.9998687964988263
2021,0.9974052887623154,0.8747688287845274,0.9999615818000017
2022,0.9990011191179573,0.9240738573517788,0.9999925073299847
2023,0.9996495272979739,0.9418666699419651,0.9999989915297852
