Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9694195047860944,0.4926721690991869,0.9987531588857381
2014,0.9675062945842553,0.4782341603456833,0.9986823464781099
2015,0.965655283486908,0.46471990753636605,0.9985896160203217
2016,0.9636437594370659,0.44977014988346137,0.998508243626742
2017,0.9614729897898788,0.4364942463857,0.9984164574973672
2018,0.9592396681549158,0.42039734891216296,0.9983135167912451
2019,0.9567439791416911,0.40766638127601645,0.998214623775071
2020,0.9540534919225968,0.39451772608162333,0.9980976088739518
2021,0.9515556108251106,0.382006143852413,0.9979207592132942
2022,0.9486517751621635,0.37005069030666843,0.9977456522266167
2023,0.9457133834666804,0.35698382047955063,0.9976784298838278
