Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.3233443540362865,0.000187978866877518,0.9999503002566081
2014,0.4991574840207512,0.0009221307463481296,0.9999147663354907
2015,0.6878915793474959,0.004418223978108061,0.9998452339396874
2016,0.8249313955811489,0.01985909867247143,0.9997189069048654
2017,0.9103995708334909,0.07947372511377772,0.9996419371597414
2018,0.9572610497139404,0.23507068837003098,0.9995460779792236
2019,0.9794128785088192,0.46749497847442717,0.9996770540018702
2020,0.9901567936571947,0.6511553423034735,0.9998581292175366
2021,0.9949375144194188,0.7885910057498146,0.9999516220691838
2022,0.997436992206814,0.817771148136996,0.999987278820026
2023,0.9987036620962308,0.8040986195141601,0.9999973427814146
