Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.333562565337741,1.5145676928920111e-09,0.999999961386677
2014,0.5012319567595266,5.929591300608707e-08,0.999999770560643
2015,0.6943942459528684,2.2882778928965035e-06,0.999998741326227
2016,0.8325432474938739,8.601901463551672e-05,0.9999935694293782
2017,0.9113562064053832,0.0027988784258497473,0.999971137942204
2018,0.9593839940911568,0.06351883691172243,0.9998669705498099
2019,0.9812820940554463,0.4695404340608525,0.9996871334652433
2020,0.9919251728993954,0.6989639658456319,0.9998566952525709
2021,0.9963021217449772,0.6036631509812762,0.9999878462214769
2022,0.9982296047305902,0.3212725908413213,0.9999995105365433
2023,0.9992309555020162,0.10762971147475693,0.9999999867616493
