Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.0001705038270776913,6.399734796436996e-08,0.1210865295841937
2014,0.0012482681942929028,1.3650638333750461e-06,0.2874108904333308
2015,0.008801867101100223,2.9872788450388987e-05,0.5653484010221128
2016,0.06029811926363527,0.000684221827001074,0.8214463142851616
2017,0.3236272693296589,0.010753590118627563,0.9493863363957429
2018,0.7864810730404688,0.10398710276132452,0.9900640945805951
2019,0.964755570973816,0.4397514067744248,0.9987713281578073
2020,0.9949491884201243,0.8036817315937643,0.999902256932911
2021,0.9993068835067251,0.941794983895281,0.9999940782671665
2022,0.9999012926111108,0.9830706324288441,0.9999997234821121
2023,0.9999865638089602,0.9948228160818247,0.9999999885914423
