Species,Total_Isolates,Discordant_Count,Discordance_Rate_%
Citrobacter freundii,62,8,12.903225806451612
Enterobacter cloacae,196,34,17.346938775510203
Enterobacter hormaechi,140,0,0.0
Enterobacter spp,58,0,0.0
Escherichia coli,3662,270,7.373020207536865
Klebsiella aerogenes,42,0,0.0
Klebsiella oxytoca,18,0,0.0
Klebsiella pneumoniae,5988,488,8.149632598530394
Morganella morganii,20,0,0.0
Proteus mirabilis,340,6,1.7647058823529411
Providencia rettgeri,36,0,0.0
Providencia spp,12,0,0.0
Providencia stuartii,62,0,0.0
Pseudomonas aeruginosa,476,16,3.361344537815126
