Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.1869547943489348
Klebsiella oxytoca,0.16823277886246712
Pseudomonas aeruginosa,0.16171320967138614
Proteus mirabilis,0.16151474492135454
Enterobacter spp,0.13783889273438416
Providencia stuartii,0.13719515110720645
Klebsiella pneumoniae,0.13537322251607037
Escherichia coli,0.13026404008774173
Enterobacter cloacae,0.10074944673657191
Enterobacter hormaechi,0.06252386189512155
Klebsiella aerogenes,0.04181297740754347
Providencia spp,0.041499175681180625
Citrobacter freundii,0.03795664232993205
Morganella morganii,0.004509226264090284
