Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.21257952495138527
Klebsiella pneumoniae,0.20770071724864742
Enterobacter cloacae,0.2038948421995846
Citrobacter freundii,0.2022400513474742
Escherichia coli,0.19432027458619516
Enterobacter spp,0.1870742183155289
Klebsiella oxytoca,0.18542567787188263
Proteus mirabilis,0.17564173021160828
Providencia stuartii,0.1728530323862868
Pseudomonas aeruginosa,0.17093821446951896
Providencia spp,0.1650624133301195
Enterobacter hormaechi,0.16295675356507652
Klebsiella aerogenes,0.1581332582297677
Morganella morganii,0.006248902081389878
