Species,Median_Probability_Gene_Presence
Morganella morganii,0.35597318064285516
Enterobacter cloacae,0.2162325617483407
Providencia rettgeri,0.2139477878040777
Klebsiella pneumoniae,0.21002709545400278
Klebsiella oxytoca,0.20955390075638175
Escherichia coli,0.2068914370121581
Citrobacter freundii,0.20497102594556563
Klebsiella aerogenes,0.20453521037187414
Enterobacter spp,0.20440296296763327
Providencia stuartii,0.19560379774150785
Enterobacter hormaechi,0.19520125276953454
Providencia spp,0.19000692411491493
Proteus mirabilis,0.18843801441019403
Pseudomonas aeruginosa,0.1723324681077696
