Species,Median_Probability_Gene_Presence
Morganella morganii,0.3582360052994077
Enterobacter cloacae,0.21868410808701316
Providencia rettgeri,0.214406998794061
Klebsiella pneumoniae,0.2127677270962419
Escherichia coli,0.20869034301633402
Klebsiella oxytoca,0.20843005847542098
Enterobacter spp,0.2069837212199053
Citrobacter freundii,0.20568960700346317
Klebsiella aerogenes,0.20495520208032494
Enterobacter hormaechi,0.19708767365809776
Providencia stuartii,0.19602439239862862
Providencia spp,0.1912122303051002
Proteus mirabilis,0.19040850567786577
Pseudomonas aeruginosa,0.17262699534266995
