Species,Median_Probability_Gene_Presence
Proteus mirabilis,0.1519508339927505
Pseudomonas aeruginosa,0.13222363017010355
Enterobacter spp,0.1283442702777055
Klebsiella aerogenes,0.12217294023830125
Klebsiella pneumoniae,0.12160832099666628
Escherichia coli,0.12158842892584903
Citrobacter freundii,0.11916748466855226
Providencia rettgeri,0.11779225726775908
Enterobacter hormaechi,0.10795395060374363
Enterobacter cloacae,0.10522545029201993
Providencia stuartii,0.10250645323771912
Providencia spp,0.07657407764075091
Klebsiella oxytoca,0.05959849075293399
Morganella morganii,0.021394719182829175
