Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.28590803013114524,0.05464480148736778,0.6411139865831607
2014,0.29707546878065905,0.06362223367534517,0.6497241935229069
2015,0.3064898520625966,0.07295655134476409,0.6589068649896418
2016,0.3160085164494257,0.08197590049980247,0.6743463781287079
2017,0.32456194352628787,0.09090644245102528,0.6897370438177806
2018,0.33035063797564435,0.09819443287427077,0.7076902403197237
2019,0.33876062254541706,0.10495890332542633,0.7295918833140741
2020,0.3467177763964771,0.11050856674396702,0.7537808323750638
2021,0.3577400633408593,0.11291313594495778,0.7790392370197533
2022,0.3709183382734029,0.11539832967031713,0.8003643885226427
2023,0.38489289960510853,0.1157266124294518,0.8269293837588485
