Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9986930894950805,4.2159053219977185e-09,0.9999999999999991
2014,0.9927025603459534,1.0553577764027378e-08,0.999999999999885
2015,0.9616856109088396,3.4501401966277343e-08,0.9999999999848179
2016,0.8168256433008385,9.311671379650299e-08,0.9999999973713263
2017,0.44677827504178985,2.1190664282087722e-07,0.9999996865577058
2018,0.13101079348836137,4.492823709162892e-07,0.9999736960560154
2019,0.02683903841920413,9.071872940291622e-07,0.9980620249522306
2020,0.005190916339517082,7.221520323467958e-07,0.9013918452117041
2021,0.0010953447212733829,1.3024103896039096e-07,0.2735010659290199
2022,0.00025897729332320684,4.86029739803071e-09,0.03751625038454524
2023,6.098874081796446e-05,8.978449124590049e-11,0.015249792854591286
