Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9999999952731509,0.9933382237114682,1.0
2014,0.9999999415860741,0.9861354621534207,0.9999999999999996
2015,0.999999322821965,0.97023684431942,0.9999999999999383
2016,0.9999920048936908,0.9406489373641747,0.9999999999894957
2017,0.9999100148701405,0.8786863987437349,0.9999999981722576
2018,0.9989656699943847,0.7477627588760634,0.9999997171422483
2019,0.9880416340536162,0.5723871824270415,0.9999537673738025
2020,0.8724692343223299,0.3434936409905849,0.9939006237847603
2021,0.3561375701874877,0.09607569057931713,0.7750714791902855
2022,0.04436930571998153,0.0023073393278402483,0.35294198374428226
2023,0.004065146364647155,1.6730884837536795e-05,0.1589457137885053
