Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.011439372013772882,0.0014179675379488643,0.054812508126578625
2014,0.006607845455029168,0.0009681284070938522,0.028800885299694014
2015,0.0037660775975385985,0.0005658017087822381,0.017447058918219807
2016,0.0021903517214613916,0.0002838899544532418,0.011403178779743907
2017,0.0012911889746956124,0.00013661895643477472,0.007713489940073741
2018,0.0007639236801501496,5.491108901317702e-05,0.005602143756532345
2019,0.00045036724447810423,2.0730974692916936e-05,0.00415633238907479
2020,0.0002678845433482606,7.73046610175595e-06,0.0032847231643997423
2021,0.00015936806460996067,2.8998022998645595e-06,0.0025453216441407816
2022,9.286496659437523e-05,1.071757432051727e-06,0.0020426071950741024
2023,5.5635134793265015e-05,3.942522566224776e-07,0.001670601599048618
