Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,8.715472122754013e-05,8.808353694920096e-13,0.26447296679300536
2014,0.00010244864814176117,8.809983903463202e-12,0.13209280628493286
2015,0.000123007369446711,8.038155277536506e-11,0.06864488109708457
2016,0.00014390527037325425,6.23354045080004e-10,0.04655923529090005
2017,0.00016663888015710544,4.193991499620396e-09,0.03380994889615267
2018,0.00020309391419534947,2.580295292990708e-08,0.02998973142211112
2019,0.00024821814792831177,9.887397791881524e-08,0.029240257613870713
2020,0.0003674737320603657,1.2711946022062552e-07,0.03420530118801997
2021,0.0005890412477212315,7.567489376169536e-08,0.04930079843889964
2022,0.0009379401009516999,3.241614364772148e-08,0.1017371572186306
2023,0.001400560813757729,1.2514840476659827e-08,0.33820176617597886
