Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.001980852911685274,4.664084803157334e-13,0.9999882028360676
2014,0.0019033785977585127,8.181106982739697e-12,0.9997532395947856
2015,0.001922942877453081,1.0877848221206736e-10,0.9950529629122914
2016,0.0017596370376000727,1.4707159199644247e-09,0.9403099042494694
2017,0.0016463871657864107,1.832550582336003e-08,0.5669333760051501
2018,0.0015044523258197636,1.2536506161569954e-07,0.20998471057506404
2019,0.001221774529112914,5.093291474982904e-07,0.11565086941105704
2020,0.0013779271747734513,3.670404311671335e-07,0.12520706599678713
2021,0.0016109836736181973,7.157118845138307e-08,0.2506510854314796
2022,0.0017253266408535587,8.177646837134812e-09,0.653230902841362
2023,0.0019616866819387848,6.045926653832171e-10,0.9460643483910315
