Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.013238657489502908,0.0018442457582231592,0.053430998315638856
2014,0.012490370690301369,0.0019229381124189057,0.04891314718398588
2015,0.011733649921280207,0.001968290390246622,0.047502433332768434
2016,0.011033923998120917,0.001981626971298409,0.045455898954382214
2017,0.010141040462813732,0.0019740773242294166,0.044022330460244015
2018,0.00940821247517052,0.0019453628431708792,0.0427310468254014
2019,0.008693193873514821,0.0018592254178695542,0.0421104141758655
2020,0.008164064420886963,0.0017802608151293116,0.04309305532947989
2021,0.007738704507977523,0.0016383120142225529,0.044506176090169304
2022,0.007295611545634557,0.0015470942973979144,0.04631956902639293
2023,0.006879337356023844,0.0013945766204492601,0.04776575843331738
