Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,5.889777025159075e-06,1.9765203962970082e-16,0.05797146021104886
2014,5.5630458481537865e-05,2.5487143978734614e-14,0.18155393837816686
2015,0.0005342263357357742,4.98526533552354e-12,0.5070916253700608
2016,0.004962975263778502,8.431166215842184e-10,0.8628124228657171
2017,0.0441197450459673,1.2366843870575896e-07,0.9822658639162916
2018,0.28153879962952555,1.4731607486822665e-05,0.9982165070357619
2019,0.7683835775507273,0.0012351042071828606,0.9998446324329348
2020,0.9653013959653742,0.058330310030567385,0.9999917949926753
2021,0.9964459835852281,0.5731745051094937,0.9999997231669188
2022,0.999682388388945,0.9274885950986774,0.999999994833291
2023,0.9999707250191255,0.9835199798575652,0.9999999999240592
