Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.06568873072495478,0.008316021964570403,0.26445203797979727
2014,0.8636377190729225,0.45529111866680644,0.9700381452685998
2015,0.9981615522532474,0.9793235403069723,0.9998205037040505
2016,0.9999786709607512,0.9994857567796867,0.9999992443714096
2017,0.9999997553595237,0.9999861238890254,0.9999999971333614
2018,0.9999999971511436,0.9999995867623687,0.9999999999900451
2019,0.9999999999676218,0.9999999864064418,0.9999999999999631
2020,0.9999999999996326,0.9999999995361073,0.9999999999999998
2021,0.9999999999999958,0.9999999999851464,1.0
2022,1.0,0.9999999999995421,1.0
2023,1.0,0.999999999999986,1.0
