Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9999979185401092,0.76599104496215,1.0
2014,0.9999942363894863,0.8833667241089638,0.9999999999999958
2015,0.9999855412136913,0.94716979322995,0.9999999999995012
2016,0.9999654080669025,0.9705333753381858,0.9999999999625503
2017,0.9999139852168062,0.9781521858405718,0.9999999980520218
2018,0.9997694919625726,0.9770701493231354,0.9999999576957928
2019,0.9992984824232377,0.9508171910484012,0.9999997280657792
2020,0.9981278692695377,0.6305641255171199,0.999999668239835
2021,0.995255750342744,0.03887030080088457,0.9999998099157379
2022,0.9892958690646745,0.0005358125817890396,0.999999907860201
2023,0.9735017135573774,6.082253508118955e-06,0.9999999654001849
