Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9976913218432253,5.178858755618812e-05,0.9999999999962784
2014,0.9982953815968734,0.0010252886381346843,0.9999999999669708
2015,0.9987687676280842,0.020188297183053743,0.9999999997445476
2016,0.999081719219709,0.2580655310659673,0.9999999981971388
2017,0.9993369561502987,0.7994894425901587,0.9999999905461737
2018,0.999560988612286,0.9649645316822394,0.9999999512408062
2019,0.999742031549302,0.9859565837010881,0.9999998452849937
2020,0.999826014724344,0.9874856571912,0.9999998936971638
2021,0.9998563113050145,0.985143646044275,0.9999999777146042
2022,0.999870151102971,0.9689693866562551,0.9999999985213557
2023,0.999897056464029,0.9046557358488866,0.9999999998986076
