Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.09831683681313516,0.010499430742698842,0.4433661398078848
2014,0.044145454090483024,0.005899940281915567,0.17368575404201292
2015,0.018226898365305857,0.0023309750528053364,0.08570824884365592
2016,0.007924262994163097,0.0005171514285334903,0.05113336392906753
2017,0.0036262515019854545,8.936898215096462e-05,0.03310283179146359
2018,0.0016128751309803862,1.3868980014838971e-05,0.022148838869503085
2019,0.0007278148935569314,2.0691723520450796e-06,0.01573164543708419
2020,0.00033069937875210265,2.6555605687846305e-07,0.011727521846712646
2021,0.000148547812537371,3.610925587080859e-08,0.00884811300572104
2022,6.481986611907035e-05,5.1123123063689714e-09,0.006640646847638476
2023,2.887174907461725e-05,7.024956222928503e-10,0.005096087625099539
