Species,Median_Probability_Gene_Presence
Morganella morganii,0.3602001193267656
Enterobacter cloacae,0.21765610514350914
Providencia rettgeri,0.21557969262047236
Klebsiella oxytoca,0.21359444181042087
Klebsiella pneumoniae,0.21231064670689187
Escherichia coli,0.20853879267897935
Enterobacter spp,0.2074432238697668
Klebsiella aerogenes,0.20743204854567637
Citrobacter freundii,0.20666412519079547
Providencia stuartii,0.19923149024037728
Enterobacter hormaechi,0.1967397278583172
Providencia spp,0.19150112695282107
Proteus mirabilis,0.1905159165219909
Pseudomonas aeruginosa,0.17336071497832783
