Species,Median_Probability_Gene_Presence
Morganella morganii,0.35683038826404284
Providencia rettgeri,0.2138035951875473
Enterobacter cloacae,0.21247469671362781
Klebsiella pneumoniae,0.20974652237060082
Klebsiella oxytoca,0.20780703286338081
Escherichia coli,0.20412666347093558
Citrobacter freundii,0.20368776415347328
Enterobacter spp,0.20310793916741854
Klebsiella aerogenes,0.20174554227971206
Providencia stuartii,0.19567337151996966
Enterobacter hormaechi,0.1933770696283581
Providencia spp,0.1879125593240284
Proteus mirabilis,0.18765809102189496
Pseudomonas aeruginosa,0.1719383356695196
