Species,Median_Probability_Gene_Presence
Proteus mirabilis,0.15146515435209984
Pseudomonas aeruginosa,0.13185661480770444
Enterobacter spp,0.12586620241232446
Escherichia coli,0.12267060630771862
Klebsiella aerogenes,0.12222841978307505
Klebsiella pneumoniae,0.12192074609025581
Citrobacter freundii,0.11863989161476748
Providencia rettgeri,0.11785068630413933
Enterobacter hormaechi,0.10684997998634427
Enterobacter cloacae,0.10136871534121969
Providencia stuartii,0.10075675920145796
Providencia spp,0.07409926189678423
Klebsiella oxytoca,0.057602809283869946
Morganella morganii,0.020612937001484647
