,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,-2.639,1.392,-5.268,-0.041,0.036,0.022,1520.0,2317.0,1.0
beta_year,-0.013,0.031,-0.073,0.046,0.0,0.001,5840.0,2603.0,1.0
beta_gene_count,-0.681,0.935,-2.463,1.06,0.014,0.016,4400.0,2812.0,1.0
beta_key_genes[0],0.008,0.261,-0.456,0.513,0.005,0.004,3011.0,2834.0,1.0
beta_key_genes[1],0.005,0.268,-0.494,0.497,0.005,0.004,2925.0,3182.0,1.0
beta_key_genes[2],-0.039,0.28,-0.507,0.532,0.006,0.004,2183.0,2093.0,1.0
beta_key_genes[3],0.19,0.307,-0.367,0.747,0.006,0.004,2335.0,2784.0,1.0
beta_key_genes[4],0.25,0.305,-0.33,0.806,0.006,0.004,2900.0,2756.0,1.0
sigma_species,3.719,0.493,2.78,4.592,0.009,0.007,2984.0,3001.0,1.0
sigma_gender,0.859,0.528,0.026,1.836,0.014,0.012,667.0,283.0,1.0
sigma_age,1.274,0.383,0.671,2.023,0.007,0.007,2704.0,2992.0,1.0
sigma_source,2.1,0.422,1.362,2.898,0.013,0.007,1027.0,1882.0,1.0
sigma_specialty,1.182,0.354,0.603,1.877,0.007,0.006,2689.0,2811.0,1.0
