Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9994914956039096,0.7647901141264247,0.9999996654561593
2014,0.998978299215024,0.7313035422453676,0.9999984459925875
2015,0.9978696758923944,0.7097495176194745,0.9999930775758006
2016,0.9956069711292354,0.6680123601845496,0.9999693206915907
2017,0.9910058480360778,0.607270713360111,0.9998751561430766
2018,0.9813829963319712,0.5075153058667468,0.9995153357227399
2019,0.9616016764487678,0.3769216230406016,0.9984510271728134
2020,0.9227755957026564,0.24427269811761768,0.9954235285378763
2021,0.8478642546526107,0.1280031314660873,0.9901207242569804
2022,0.720353766164041,0.05480445055979937,0.9830033970902541
2023,0.54942873315185,0.018683636935725775,0.9758091567928052
