Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9998376512478805,0.5649555766780481,0.9999999957666585
2014,0.9997068794449426,0.6254105624284303,0.9999999798670943
2015,0.9994776639437404,0.6726849285850899,0.9999998986159997
2016,0.9991012637134559,0.6893811091904124,0.999999476045266
2017,0.998408839056328,0.7011139888080216,0.9999973367837273
2018,0.9971486694998642,0.7112434472941952,0.9999884058000046
2019,0.9949699173527782,0.7154643879200056,0.999945395974197
2020,0.9909171420822429,0.6651258296320713,0.9997890011349669
2021,0.983953250970003,0.6023458649888342,0.999360513944396
2022,0.9713529502217452,0.49347308203165074,0.9985268343011536
2023,0.9475147740809142,0.3359196975722672,0.9971773422599394
