Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.56445328662006,0.03401383209170271,0.9574718947282902
2014,0.5801053463505625,0.036361102689450676,0.9596373680337756
2015,0.5945027093380573,0.03886285120604277,0.9614976863361601
2016,0.6082693826498367,0.04200142348875409,0.9636238126735267
2017,0.6227110873136743,0.044328432535795236,0.965378248852993
2018,0.6358241686966686,0.04682346940263375,0.9667865779950856
2019,0.6506932200570827,0.049269402165559466,0.9685038845324258
2020,0.6644778232459345,0.051242607919032505,0.9703745176232934
2021,0.6785338067290421,0.054429088312388685,0.9722813821667752
2022,0.6921318427970479,0.05679252833447786,0.9743195593433003
2023,0.7042944295039878,0.05892410924577875,0.9757751458529873
