Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9903373173663066,0.0028227602919678155,0.9999999115528267
2014,0.9920611432965927,0.010948538407375202,0.9999997304370728
2015,0.9933651256235964,0.04095768122119019,0.9999992546708873
2016,0.9943889069587435,0.1271852961709636,0.9999979823927005
2017,0.9951776120105116,0.31542954650411564,0.9999949255575493
2018,0.9960938631847915,0.5590450480024615,0.9999874919790006
2019,0.996727326580794,0.7154780863627025,0.999978781109958
2020,0.9970821975235651,0.8208309221885935,0.999977742194334
2021,0.9974123901365599,0.8517361534898383,0.9999861621077658
2022,0.9977799454687243,0.8257068927779175,0.9999924652898282
2023,0.9981169804925779,0.7511477611885092,0.9999973159145474
