Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.8493608052380148,0.13768377805986962,0.9898976778914509
2014,0.855878546061327,0.14401643933703714,0.9902160916513713
2015,0.8615895929274262,0.14918131888206068,0.9906592533002038
2016,0.866155377784356,0.15550158451134163,0.9911054643634247
2017,0.8717534282815197,0.15980075826846565,0.9914139474351199
2018,0.8761279761465786,0.1674561664253754,0.9917807898780683
2019,0.8807186558555604,0.1724431329639866,0.9919975744104321
2020,0.886381774823833,0.17536880660561247,0.992325592619693
2021,0.8909619232979237,0.17988804246813855,0.9926478918226163
2022,0.8952866011625267,0.18485735447513157,0.9930097873913595
2023,0.8994954496288796,0.18858105057542937,0.9934080973114227
