Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9918952788231115,0.015443890280620836,0.9999998587304201
2014,0.9923998469774375,0.040518751634238286,0.9999995598720177
2015,0.9926434818472658,0.10057293333906636,0.9999987304015343
2016,0.9934034313188458,0.21648079401164327,0.9999964972584046
2017,0.9942291515000037,0.36420414926527744,0.9999914087871762
2018,0.9947372613510661,0.5463716869922934,0.999980445814737
2019,0.9952181346356586,0.663031505852134,0.9999694041373199
2020,0.9952736367909006,0.720226213269379,0.9999713266759684
2021,0.9956056909843432,0.7218573876479266,0.9999806469929892
2022,0.9955902086012789,0.6521145589866877,0.9999889080355441
2023,0.9957411549284005,0.528631947015373,0.9999948998326439
