Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.8805855103195268,0.07690514994825395,0.9980405534643731
2014,0.8987391980642769,0.11368960591867117,0.9979025523274978
2015,0.9169708283758348,0.1656600077674627,0.9978140843831556
2016,0.9322024418743975,0.23551816917618837,0.9977593833955192
2017,0.9444269956059641,0.30481820845424246,0.9978607425252041
2018,0.9551087924449362,0.3683323054018307,0.9979901308396432
2019,0.9626165240218046,0.43303002067004065,0.9981891696543124
2020,0.9696129781438136,0.48055864484704996,0.9984328351475407
2021,0.9750885388039022,0.5326824930731002,0.9987205978272783
2022,0.9796756916245211,0.559341353428358,0.999036704757939
2023,0.9833394938151129,0.585107196345753,0.999327696496214
