Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9993871665656383,0.0318367114997086,0.9999999992534043
2014,0.9992081953512786,0.09873109383092211,0.9999999931712138
2015,0.9989217330151348,0.24326928118849322,0.9999999434841857
2016,0.9985502262967847,0.4813416323794053,0.9999996037666843
2017,0.9979618533466572,0.7086296251778654,0.9999976629968147
2018,0.9972668288134843,0.7865405070084787,0.9999901299385906
2019,0.996237365678512,0.7994328083437845,0.999976959483325
2020,0.994842636889263,0.6730824730416626,0.9999727459609908
2021,0.9931483414301814,0.36507255777177156,0.9999779000472314
2022,0.9909554589924767,0.1052946116304396,0.9999874209303289
2023,0.9872962060799813,0.017987643849447857,0.9999945918193351
