Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9970315356802518,0.0004655732437938582,0.9999999950795069
2014,0.9965978064054861,0.0022645502544942644,0.9999999653585675
2015,0.996173097481969,0.01184868173758714,0.9999998208160928
2016,0.9957112848923363,0.05805566734791023,0.9999990052208374
2017,0.995359742901242,0.22574358903308256,0.9999957751281948
2018,0.995075927829927,0.4974250295436073,0.9999870515878565
2019,0.9946219179483227,0.6731616670669104,0.9999695042514681
2020,0.9944468963501594,0.6718132396399596,0.999957343805445
2021,0.9940275455359495,0.48811684460057897,0.9999759326080003
2022,0.993540679663984,0.2575840086429172,0.9999914457450283
2023,0.9926390361490587,0.08913541798820718,0.9999979653373886
