Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.2111328824082186
Enterobacter cloacae,0.20986593827505798
Klebsiella pneumoniae,0.20739447139818984
Citrobacter freundii,0.2038036619171488
Escherichia coli,0.18998354567662348
Klebsiella oxytoca,0.1889468379996822
Enterobacter spp,0.18450755381332717
Providencia stuartii,0.17935454747100554
Proteus mirabilis,0.17763123806578213
Pseudomonas aeruginosa,0.17101969889727017
Enterobacter hormaechi,0.1668096909974368
Providencia spp,0.1665542873040499
Klebsiella aerogenes,0.16541709410985436
Morganella morganii,0.0064744950159596245
