Species,Median_Probability_Gene_Presence
Morganella morganii,0.35542580821542524
Providencia rettgeri,0.21180453533163096
Enterobacter cloacae,0.2093601323882773
Klebsiella pneumoniae,0.2087447954703709
Klebsiella oxytoca,0.2045628817792587
Citrobacter freundii,0.2033041861469721
Escherichia coli,0.2031596653031209
Enterobacter spp,0.1998880042803638
Klebsiella aerogenes,0.19896973555459865
Providencia stuartii,0.19143383756583693
Enterobacter hormaechi,0.18954977012462346
Providencia spp,0.18686440127507054
Proteus mirabilis,0.1863097878994163
Pseudomonas aeruginosa,0.17059880444161565
