Species,Median_Probability_Gene_Presence
Morganella morganii,0.3579012809423952
Enterobacter cloacae,0.2178660636243193
Providencia rettgeri,0.21414791598671085
Klebsiella pneumoniae,0.20984253809528858
Klebsiella oxytoca,0.20893703661625818
Escherichia coli,0.20646504581080677
Citrobacter freundii,0.20483840248938526
Enterobacter spp,0.2038413317120058
Klebsiella aerogenes,0.20241559035569567
Providencia stuartii,0.1951160927434737
Enterobacter hormaechi,0.19510720813246696
Proteus mirabilis,0.18890051491185125
Providencia spp,0.1882669079766658
Pseudomonas aeruginosa,0.172167702251368
