Species,Median_Probability_Gene_Presence
Proteus mirabilis,0.1504018801988678
Pseudomonas aeruginosa,0.1322573488777962
Enterobacter spp,0.1301599126139168
Escherichia coli,0.12364214926925188
Klebsiella pneumoniae,0.12244070862240505
Klebsiella aerogenes,0.12168576493036222
Providencia rettgeri,0.11793905376573366
Citrobacter freundii,0.11761833331791055
Enterobacter hormaechi,0.10750998559478783
Enterobacter cloacae,0.10486847962770698
Providencia stuartii,0.10383537779644675
Providencia spp,0.07621671803835717
Klebsiella oxytoca,0.06177157417004978
Morganella morganii,0.020890486473428928
