Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9613519662750517,0.026007338772074735,0.9999417529099808
2014,0.9720806946824199,0.08124202623375522,0.999942704064777
2015,0.9796845939420729,0.20987857207594887,0.9999362592445431
2016,0.9855747918489801,0.4509029372622687,0.9999335513511909
2017,0.9894294016779231,0.6953261232251126,0.9999338472394743
2018,0.992383278470348,0.8450103716882562,0.9999455071300254
2019,0.9944756639394582,0.9157583325618143,0.999952217444207
2020,0.9961504412154629,0.9443912970989362,0.9999693536300417
2021,0.9973036039832202,0.9602009305737523,0.9999787272583278
2022,0.9981463269619273,0.9640835729324365,0.9999887089242488
2023,0.9986873477486555,0.9605148801188255,0.9999937047529732
