Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.57102007664081,0.20099899488549233,0.7902560775624534
2014,0.6336333806579993,0.25386076975008887,0.8181931979821039
2015,0.6932028837673307,0.3085017290981604,0.8447614375071173
2016,0.7454921264813963,0.3655472919272008,0.8702936912973077
2017,0.7919189618452209,0.4287449096137451,0.8951959668563397
2018,0.8316988975687644,0.4808539718614424,0.9177452482360111
2019,0.8656522094712102,0.5382597166785739,0.9353578998522863
2020,0.892146496104835,0.6005135594419986,0.9516449266790794
2021,0.9139956576848174,0.6534073686939719,0.9639918408440075
2022,0.9321146210174716,0.7032367617546333,0.9741690602784027
2023,0.9464574704832234,0.7513627517629549,0.9814490463370814
