Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.937613115741291,0.0063044237967678825,0.9999327914442345
2014,0.9554934494735949,0.022848127717292718,0.9999257596665411
2015,0.9677693630458157,0.07059281108143119,0.9999220571144551
2016,0.9774344528931833,0.20956129641818957,0.9999314088164394
2017,0.9833593341580562,0.4448395832203189,0.9999334094304635
2018,0.9884054010132708,0.6874096439493755,0.9999365272640321
2019,0.9920433253187464,0.8388470406132132,0.9999494787317279
2020,0.9943239954924497,0.9102942586221962,0.9999594434240175
2021,0.9962487544239026,0.9449437455157045,0.9999741144575731
2022,0.9975721097969317,0.9568950115221239,0.9999862708684989
2023,0.9984013423166678,0.9615506771283115,0.9999932297107043
