Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.006625848944532164,0.001309566841883578,0.015506165089719179
2014,0.00923293096276457,0.0018873383445766425,0.020737129328336518
2015,0.012938835357730327,0.0026612299155500375,0.027786311553304202
2016,0.018054686824684765,0.0037018754003337448,0.03762408692193374
2017,0.02531540329485696,0.005031411420667944,0.0500760384493855
2018,0.03522647221741255,0.0070595601956300194,0.06854455281562721
2019,0.04868536215453692,0.009563309140697819,0.09386202691184341
2020,0.06709289008571007,0.013317358931312782,0.1263160678498684
2021,0.0915966868051113,0.017494583725502732,0.16814348047860203
2022,0.12360823408655063,0.02448901044748348,0.21938794732098044
2023,0.16378308937926367,0.03387312846701049,0.2820830626086542
