Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.0028574924344851966,5.769849886394522e-06,0.329291679816261
2014,0.0038460510440592047,1.3837693204461665e-05,0.25854355201136925
2015,0.005084256387586097,3.225125581453027e-05,0.20637368959884408
2016,0.006822858803128159,6.145683583514138e-05,0.1799221233865179
2017,0.00930058041866732,0.00012097869306120658,0.14453985729050203
2018,0.012577176597700367,0.00019589027349348968,0.1304025112331685
2019,0.017114366623286546,0.00028639467696321577,0.14696909004370057
2020,0.02284430846441628,0.00042864483814395967,0.17089119730583016
2021,0.03010260443983972,0.0005769123416281511,0.2281446420247144
2022,0.04003652260788342,0.0006372040916559046,0.3547763497446622
2023,0.05058982005542258,0.0006654692916265014,0.5243369744367694
