Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.10422134181494275,0.023159760841334944,0.18771006484228805
2014,0.12192695701500247,0.026897880981842346,0.21652671961846437
2015,0.14219167000820176,0.031438768697537096,0.24505438022376308
2016,0.1652328494540971,0.036348064723896595,0.27873380132765035
2017,0.19114655471400627,0.04268601152789461,0.312978751640761
2018,0.22008977982705097,0.04978042778063589,0.34878519904229865
2019,0.25167754070071546,0.05834638225072771,0.3901808657863216
2020,0.285782264354673,0.06678534956340856,0.4326591158424683
2021,0.32211333578026524,0.0783585511600297,0.47656292051432203
2022,0.36025177652225404,0.09021033354385757,0.5233050972914525
2023,0.4005669024344734,0.10787395761842057,0.5655891225103594
