Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9851541510638839,0.7511517332377123,0.9999550582413331
2014,0.988080354284203,0.807113112817997,0.9999465475934363
2015,0.9903212608929095,0.8554512141345652,0.9999434588886392
2016,0.9920643811808985,0.882420002306198,0.9999373182374698
2017,0.9934123570173095,0.9016036918188698,0.9999383473967953
2018,0.994609295489667,0.9116361914401917,0.999947050813566
2019,0.9955275623791178,0.9154615820493148,0.9999570505783384
2020,0.9962169384659423,0.9175981637754942,0.9999710358890087
2021,0.9968599575056916,0.9112208475696225,0.9999792237520336
2022,0.9973878489233596,0.899953851206067,0.9999871759445825
2023,0.9978035582479453,0.8779996086186217,0.9999917659104907
