Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.41561240224213924,0.12061418646546444,0.6104836718372926
2014,0.45052620473483884,0.13965407917864148,0.6368451205021396
2015,0.48608176584212937,0.15462948929940465,0.662407790585949
2016,0.5218171035282388,0.17578986384863163,0.6921070916564411
2017,0.5576797358036707,0.19879008663521466,0.7175618783591605
2018,0.5923250197692879,0.22099520687563123,0.7420147995573486
2019,0.6254141174339178,0.23771301210703924,0.7700890871456484
2020,0.6576389584630817,0.2617108464107125,0.793978101796973
2021,0.6877164547111067,0.28625129584916975,0.8215358251717819
2022,0.7164496641837548,0.30906072381569555,0.8434298050864621
2023,0.7426949799434492,0.33507806814586766,0.8642644525198723
