Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.989250349945068,0.744705717811157,0.9999785301644509
2014,0.9910985641453358,0.8207259790916988,0.9999665724598216
2015,0.992658787911693,0.8679356114606108,0.9999612876910485
2016,0.9939531978709248,0.902362559374707,0.9999562912615143
2017,0.9948959200573562,0.9209855949764442,0.9999547418823465
2018,0.9956174741694761,0.9345822859096443,0.9999579136074909
2019,0.9962770786475457,0.9349580130287665,0.9999661162021797
2020,0.99678815957904,0.9294935833742658,0.999975545566925
2021,0.9973158394237823,0.908341373410964,0.9999837916465173
2022,0.9977692179915223,0.8767475915308744,0.9999876197313093
2023,0.9982062919576562,0.8220131075666631,0.9999924651741305
