Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9766449771232673,0.19539486859758218,0.9999477465662057
2014,0.9823902827697935,0.36712756860519463,0.9999364432256301
2015,0.987237229377833,0.5728270440399146,0.9999306505760613
2016,0.9906063866206936,0.7585984558641241,0.999925518519066
2017,0.9929442859027118,0.862261153766431,0.9999192527087578
2018,0.9946305849758562,0.920892265249877,0.9999334015181689
2019,0.996036747338259,0.944080870906792,0.9999476748848433
2020,0.9970682353094347,0.9556540284696281,0.9999635377643477
2021,0.997848262006473,0.960089984497452,0.9999807180436625
2022,0.9984293831648393,0.9597544237108168,0.9999893434253728
2023,0.9988360344938669,0.9589148708107931,0.9999947385762838
