Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.3505364120601876,0.09325119839839341,0.5579120417075694
2014,0.4324182487135242,0.12610481350885241,0.6272946200831391
2015,0.5180645047012744,0.17045424734147008,0.691895291387705
2016,0.6036154133603036,0.22546226055807483,0.7557160774207689
2017,0.6827386519128731,0.29907546324114864,0.811255154870467
2018,0.7511247770437821,0.36292511636822106,0.8585896577503715
2019,0.809053408756673,0.4476286053280502,0.8964512228319913
2020,0.8559558510315408,0.5345901932126405,0.9263102158326691
2021,0.8923944777183166,0.6114307709768166,0.9475462106852651
2022,0.9204630361883246,0.6822019406863001,0.9632195728926198
2023,0.941417165642121,0.7501977675113026,0.9742769319089161
