Species,Total_Isolates,Discordant_Count,Discordance_Rate_%
Citrobacter freundii,62,0,0.0
Enterobacter cloacae,196,28,14.285714285714286
Enterobacter hormaechi,140,0,0.0
Enterobacter spp,58,0,0.0
Escherichia coli,3662,82,2.239213544511196
Klebsiella aerogenes,42,0,0.0
Klebsiella oxytoca,18,0,0.0
Klebsiella pneumoniae,5988,442,7.381429525718103
Morganella morganii,20,0,0.0
Proteus mirabilis,340,56,16.470588235294116
Providencia rettgeri,36,0,0.0
Providencia spp,12,0,0.0
Providencia stuartii,62,0,0.0
Pseudomonas aeruginosa,476,86,18.067226890756302
